=====Bubble Sort=====
Size	Time
100	0.016666668
200	0.06555556
300	0.11777778
400	0.21222222
500	0.33888888
600	0.49888888
700	0.6911111
800	0.9177778
900	1.4255556
1000	1.6444445
1100	1.7888889
1200	2.1555555
1300	2.5444446
1400	2.988889
1500	3.4
1600	3.8888888
1700	4.4
1800	4.9555554
1900	5.5444446
2000	6.1555557
2100	6.811111
2200	7.477778
2300	8.155556
2400	8.922222
2500	9.7
2600	10.5
2700	11.344444
2800	12.188889
2900	13.144444
3000	14.1
3100	14.9777775
3200	16.01111
3300	17.01111
3400	18.1
3500	19.188889
3600	20.311111
3700	21.466667
3800	22.655556
3900	23.877777
4000	25.122223
4100	26.4
4200	27.688889
4300	29.1
4400	33.322224
4500	32.18889
4600	33.322224
4700	34.77778
4800	36.266666
4900	37.8
5000	39.344444
5100	42.922222
5200	42.6
5300	44.244446
5400	45.966667
5500	47.644444
5600	49.433334
5700	51.233334
5800	54.922222
5900	54.766666
6000	58.855556
6100	60.922222
6200	62.733334
6300	67.64445
6400	69.6
6500	66.64445
6600	70.72222
6700	72.655556
6800	75.388885
6900	78.833336
7000	77.37778
7100	80.3
7200	83.64445
7300	84.1
7400	91.244446
7500	95.37778
7600	98.45556
7700	96.01111
7800	96.13333
7900	100.81111
8000	103.2
8100	105.81111
8200	113.611115
8300	112.522224
8400	115.86667
8500	115.9
8600	124.433334
8700	125.78889
8800	126.76667
8900	127.333336
9000	127.7
9100	136.53334
9200	137.7111
9300	140.26666
9400	143.51111
9500	142.3
9600	149.5
9700	152.62222
9800	153.72223
9900	157.62222
10000	164.16667
11000	190.77777
12000	233.91112
13000	276.53333
14000	314.15555
15000	358.8111
16000	410.47778
17000	461.9222
18000	512.76666
19000	586.1778
20000	651.9
21000	703.8778
22000	789.3
23000	859.3889
24000	931.4667
25000	995.42224
26000	1084.3223
27000	1155.1
28000	1239.4445
29000	1337.9445
30000	1433.4111
31000	1550.9333
32000	1635.5555
33000	1747.0667
34000	1846.0222
35000	1955.4
36000	2050.1
37000	2191.2222
38000	2332.8555
