=====Heap Sort=====
Size	Time
100	0.008888889
200	0.016666668
300	0.025555555
400	0.034444444
500	0.045555554
600	0.05666667
700	0.067777775
800	0.07777778
900	0.08888889
1000	0.1
1100	0.11111111
1200	0.12222222
1300	0.13333334
1400	0.14444445
1500	0.16666667
1600	0.17777778
1700	0.17777778
1800	0.2
1900	0.2
2000	0.21111111
2100	0.23333333
2200	0.24444444
2300	0.24444444
2400	0.26666668
2500	0.2777778
2600	0.2888889
2700	0.3
2800	0.32222223
2900	0.32222223
3000	0.34444445
3100	0.35555556
3200	0.36666667
3300	0.37777779
3400	0.3888889
3500	0.4
3600	0.41111112
3700	0.42222223
3800	0.44444445
3900	0.44444445
4000	0.46666667
4100	0.47777778
4200	0.4888889
4300	0.53333336
4400	0.51111114
4500	0.53333336
4600	0.54444444
4700	0.56666666
4800	0.5777778
4900	0.54444444
5000	0.5555556
5100	0.5555556
5200	0.5777778
5300	0.5888889
5400	0.6
5500	0.6111111
5600	0.62222224
5700	0.6333333
5800	0.64444447
5900	0.65555555
6000	0.6666667
6100	0.6888889
6200	0.7
6300	0.7111111
6400	0.7222222
6500	0.73333335
6600	0.74444443
6700	0.75555557
6800	0.7777778
6900	0.7888889
7000	0.7888889
7100	0.8
7200	0.82222223
7300	0.8333333
7400	0.84444445
7500	0.85555553
7600	0.87777776
7700	0.87777776
7800	0.9
7900	0.9111111
8000	0.9222222
8100	0.93333334
8200	0.9444444
8300	0.95555556
8400	0.9777778
8500	0.9777778
8600	1.0
8700	1.0111111
8800	1.0222223
8900	1.0444444
9000	1.0444444
9100	1.0666667
9200	1.0777777
9300	1.0888889
9400	1.1
9500	1.1333333
9600	1.1333333
9700	1.1444445
9800	1.1555556
9900	1.1666666
10000	1.1777778
11000	1.3111111
12000	1.4555556
13000	1.5777777
14000	1.7333333
15000	1.8555555
16000	2.0
17000	2.1222222
18000	2.2777777
19000	2.6222222
20000	2.7777777
21000	2.9333334
22000	3.088889
23000	3.2444444
24000	3.4
25000	3.2555556
26000	3.411111
27000	3.5555556
28000	3.6888888
29000	3.8333333
30000	3.988889
31000	4.3444443
32000	4.6666665
33000	4.866667
34000	5.0111113
35000	4.788889
36000	4.8777776
37000	5.022222
38000	5.4888887
39000	5.811111
40000	5.977778
41000	6.088889
42000	5.7777777
43000	5.9333334
44000	6.088889
45000	6.2444444
46000	6.388889
47000	6.5444446
48000	6.7
49000	6.866667
50000	7.0111113
51000	7.177778
52000	7.322222
53000	7.477778
54000	7.6444445
55000	7.8
56000	7.9666667
57000	8.122222
58000	8.255555
59000	8.544444
60000	8.877778
61000	9.677778
62000	9.7
63000	9.066667
64000	9.222222
65000	9.366667
66000	9.5222225
67000	9.677778
68000	9.844444
69000	10.011111
70000	10.177778
71000	10.322222
72000	10.488889
73000	10.666667
74000	10.822222
75000	11.011111
76000	11.166667
77000	11.322222
78000	11.511111
79000	11.677778
80000	11.8
81000	12.0
82000	12.188889
83000	12.288889
84000	13.6
85000	13.766666
86000	13.288889
87000	12.944445
88000	13.144444
89000	13.288889
90000	13.466666
91000	13.655556
92000	13.833333
93000	13.9777775
94000	14.166667
95000	14.322222
96000	14.5
97000	14.677778
98000	15.911111
99000	15.777778
100000	15.155556
