=====Insertion Sort=====
Size	Time
100	0.0033333334
200	0.01
300	0.02111111
400	0.034444444
500	0.052222222
600	0.07333333
700	0.096666664
800	0.12555556
900	0.15666667
1000	0.2
1100	0.22222222
1200	0.2777778
1300	0.31111112
1400	0.36666667
1500	0.46666667
1600	0.47777778
1700	0.53333336
1800	0.5888889
1900	0.6666667
2000	0.73333335
2100	0.8111111
2200	0.9111111
2300	1.0
2400	1.0555556
2500	1.1444445
2600	1.2222222
2700	1.3222222
2800	1.4222223
2900	1.5444444
3000	1.6444445
3100	1.7666667
3200	1.8555555
3300	1.9666667
3400	2.088889
3500	2.2222223
3600	2.3444445
3700	2.4777777
3800	2.6
3900	2.7333333
4000	2.8888888
4100	3.0222223
4200	3.1666667
4300	3.3777778
4400	3.511111
4500	3.6777778
4600	3.8
4700	3.9555554
4800	4.1222224
4900	4.311111
5000	4.4888887
5100	4.7
5200	4.8444443
5300	5.0333333
5400	5.211111
5500	5.633333
5600	6.1444445
5700	6.3444443
5800	6.5666666
5900	6.233333
6000	6.4333334
6100	6.6555557
6200	6.866667
6300	7.077778
6400	7.322222
6500	7.5444446
6600	7.7777777
6700	8.033334
6800	8.255555
6900	8.511111
7000	8.811111
7100	8.988889
7200	9.255555
7300	9.5222225
7400	9.788889
7500	10.077778
7600	10.288889
7700	10.566667
7800	10.866667
7900	11.122222
8000	11.422222
8100	11.933333
8200	13.088889
8300	12.755555
8400	12.566667
8500	12.866667
8600	13.2
8700	13.5
8800	13.811111
8900	14.122222
9000	14.433333
9100	14.8
9200	15.088889
9300	15.433333
9400	15.744445
9500	16.044445
9600	16.433332
9700	16.755556
9800	17.133333
9900	17.5
10000	17.811111
11000	21.577778
12000	25.644444
13000	30.155556
14000	34.966667
15000	40.11111
16000	45.677776
17000	51.633335
18000	58.155556
19000	66.78889
20000	71.55556
21000	79.022224
22000	89.0
23000	94.77778
24000	102.922226
25000	112.35555
26000	122.933334
27000	130.58888
28000	146.2889
29000	150.55556
30000	164.88889
31000	174.85556
32000	185.84445
33000	195.63333
34000	207.46666
35000	219.93333
36000	232.82222
37000	245.57777
38000	259.12222
39000	272.75555
40000	288.54443
41000	306.5
42000	321.25555
43000	341.45557
44000	355.24445
45000	365.83334
46000	382.9111
47000	398.0889
48000	416.5111
49000	433.82224
50000	449.22223
