=====Merge Sort=====
Size	Time
100	0.01
200	0.016666668
300	0.024444444
400	0.032222223
500	0.04222222
600	0.052222222
700	0.062222224
800	0.072222225
900	0.08111111
1000	0.08888889
1100	0.1
1200	0.11111111
1300	0.12222222
1400	0.14444445
1500	0.14444445
1600	0.15555556
1700	0.16666667
1800	0.17777778
1900	0.18888889
2000	0.2
2100	0.21111111
2200	0.22222222
2300	0.25555557
2400	0.24444444
2500	0.25555557
2600	0.26666668
2700	0.2777778
2800	0.3
2900	0.3
3000	0.31111112
3100	0.32222223
3200	0.34444445
3300	0.37777779
3400	0.35555556
3500	0.36666667
3600	0.37777779
3700	0.4
3800	0.4
3900	0.42222223
4000	0.43333334
4100	0.5555556
4200	0.46666667
4300	0.5222222
4400	0.5222222
4500	0.54444444
4600	0.5555556
4700	0.5555556
4800	0.5777778
4900	0.5777778
5000	0.6
5100	0.6
5200	0.62222224
5300	0.64444447
5400	0.65555555
5500	0.6666667
5600	0.6888889
5700	0.6888889
5800	0.7
5900	0.7111111
6000	0.73333335
6100	0.7888889
6200	0.75555557
6300	0.76666665
6400	0.8111111
6500	0.8
6600	0.82222223
6700	0.82222223
6800	0.8333333
6900	0.87777776
7000	0.7888889
7100	0.8
7200	0.8666667
7300	0.8333333
7400	0.8333333
7500	0.84444445
7600	0.85555553
7700	0.8666667
7800	0.8888889
7900	0.9111111
8000	0.9111111
8100	0.93333334
8200	0.9222222
8300	0.9444444
8400	0.96666664
8500	0.9777778
8600	1.0222223
8700	1.0
8800	1.0111111
8900	1.0222223
9000	1.2555555
9100	1.2111111
9200	1.1444445
9300	1.1666666
9400	1.1888889
9500	1.2111111
9600	1.2222222
9700	1.2333333
9800	1.2444445
9900	1.2666667
10000	1.2888889
11000	1.6777778
12000	1.5555556
13000	1.7111111
14000	1.8555555
15000	2.011111
16000	2.1444445
17000	2.3
18000	2.4666667
19000	2.588889
20000	2.711111
21000	2.8666666
22000	3.0222223
23000	2.9222221
24000	3.0222223
25000	3.2444444
26000	3.3222222
27000	3.4222221
28000	3.5444446
29000	3.6777778
30000	3.8333333
31000	3.9666667
32000	4.088889
33000	4.2222223
34000	4.411111
35000	5.111111
36000	5.233333
37000	5.2
38000	5.422222
39000	5.5333333
40000	5.2555556
41000	5.322222
42000	5.5444446
43000	5.688889
44000	5.822222
45000	5.9333334
46000	6.1222224
47000	6.266667
48000	6.411111
49000	6.5111113
50000	6.7
51000	6.8555555
52000	6.9888887
53000	7.111111
54000	7.311111
55000	7.477778
56000	7.611111
57000	7.7555556
58000	9.122222
59000	8.766666
60000	8.422222
61000	8.288889
62000	8.455556
63000	8.611111
64000	8.733334
65000	8.866667
66000	9.0222225
67000	9.244445
68000	9.4
69000	9.533334
70000	9.666667
71000	9.844444
72000	10.011111
73000	10.122222
74000	11.077778
75000	11.222222
76000	11.911111
77000	11.588889
78000	10.8
79000	10.944445
80000	11.088889
81000	11.666667
82000	12.322222
83000	11.577778
84000	11.744445
85000	11.888889
86000	11.9777775
87000	12.233334
88000	12.377778
89000	12.544444
90000	12.633333
91000	12.811111
92000	12.966666
93000	13.111111
94000	13.233334
95000	13.344444
96000	13.4777775
97000	13.588889
98000	13.644444
99000	13.833333
100000	14.044444
