=====Quick Sort=====
Size	Time
100	0.006666667
200	0.013333334
300	0.02
400	0.027777778
500	0.035555556
600	0.044444446
700	0.052222222
800	0.06111111
900	0.06888889
1000	0.07777778
1100	0.08888889
1200	0.08888889
1300	0.11111111
1400	0.11111111
1500	0.12222222
1600	0.13333334
1700	0.17777778
1800	0.17777778
1900	0.18888889
2000	0.2
2100	0.22222222
2200	0.25555557
2300	0.26666668
2400	0.2777778
2500	0.33333334
2600	0.34444445
2700	0.36666667
2800	0.24444444
2900	0.24444444
3000	0.25555557
3100	0.2888889
3200	0.34444445
3300	0.35555556
3400	0.36666667
3500	0.36666667
3600	0.3888889
3700	0.45555556
3800	0.46666667
3900	0.35555556
4000	0.35555556
4100	0.36666667
4200	0.51111114
4300	0.53333336
4400	0.3888889
4500	0.4
4600	0.56666666
4700	0.6666667
4800	0.8
4900	0.82222223
5000	0.5888889
5100	0.46666667
5200	0.54444444
5300	0.65555555
5400	0.4888889
5500	0.5
5600	0.7888889
5700	0.64444447
5800	0.53333336
5900	0.54444444
6000	0.5555556
6100	0.74444443
6200	0.9
6300	0.84444445
6400	0.6
6500	0.87777776
6600	1.0777777
6700	1.1444445
6800	0.6888889
6900	0.64444447
7000	0.65555555
7100	0.6666667
7200	0.67777777
7300	0.6888889
7400	0.7
7500	0.7
7600	0.7222222
7700	0.7222222
7800	0.74444443
7900	0.74444443
8000	0.75555557
8100	0.76666665
8200	0.76666665
8300	0.7888889
8400	0.8
8500	0.8111111
8600	0.82222223
8700	0.8333333
8800	1.1444445
8900	0.85555553
9000	0.85555553
9100	0.8666667
9200	0.87777776
9300	0.8888889
9400	0.9
9500	0.9111111
9600	0.9222222
9700	0.93333334
9800	0.9444444
9900	0.95555556
10000	0.95555556
11000	1.0666667
12000	1.1777778
13000	1.2777778
14000	1.3888888
15000	1.4777777
16000	1.4666667
17000	1.5666667
18000	1.6666666
19000	1.7666667
20000	1.8666667
21000	1.9666667
22000	2.0777779
23000	2.1666667
24000	2.2777777
25000	2.3888888
26000	2.488889
27000	2.588889
28000	2.6888888
29000	2.788889
30000	3.0555556
31000	3.2777777
32000	3.4
33000	3.511111
34000	3.6222222
35000	3.7333333
36000	3.8444445
37000	3.6333334
38000	3.7333333
39000	3.8555555
40000	3.9666667
41000	4.088889
42000	4.1666665
43000	4.2777777
44000	4.366667
45000	5.088889
46000	5.022222
47000	5.1222224
48000	5.2444444
49000	5.3777776
50000	5.7444444
51000	5.6
52000	5.711111
53000	5.5555553
54000	5.4555554
55000	5.5666666
56000	5.677778
57000	5.788889
58000	5.888889
59000	6.4444447
60000	6.6555557
61000	6.922222
62000	6.9
63000	7.022222
64000	7.133333
65000	7.2555556
66000	7.211111
67000	6.888889
68000	6.9888887
69000	7.133333
70000	7.233333
71000	7.3333335
72000	7.4444447
73000	7.5555553
74000	7.6666665
75000	8.577778
76000	8.611111
77000	8.711111
78000	8.322222
79000	8.222222
80000	8.333333
81000	8.444445
82000	8.544444
83000	9.344444
84000	9.566667
85000	8.866667
86000	9.011111
87000	9.111111
88000	9.233334
89000	9.344444
90000	9.444445
91000	9.533334
92000	9.666667
93000	9.788889
94000	10.877778
95000	10.933333
96000	10.4
97000	10.233334
98000	10.411111
99000	10.466666
100000	10.633333
