=====Robo Sort=====
Size	Time
100	0.006666667
200	0.01
300	0.015555556
400	0.023333333
500	0.03
600	0.04777778
700	0.05666667
800	0.06666667
900	0.07666667
1000	0.08888889
1100	0.08888889
1200	0.11111111
1300	0.12222222
1400	0.12222222
1500	0.14444445
1600	0.14444445
1700	0.15555556
1800	0.17777778
1900	0.18888889
2000	0.2
2100	0.21111111
2200	0.22222222
2300	0.23333333
2400	0.24444444
2500	0.26666668
2600	0.26666668
2700	0.2777778
2800	0.3
2900	0.34444445
3000	0.43333334
3100	0.43333334
3200	0.37777779
3300	0.3888889
3400	0.41111112
3500	0.42222223
3600	0.43333334
3700	0.45555556
3800	0.46666667
3900	0.47777778
4000	0.5
4100	0.5
4200	0.5222222
4300	0.53333336
4400	0.5555556
4500	0.56666666
4600	0.5777778
4700	0.6
4800	0.6111111
4900	0.62222224
5000	0.6333333
5100	0.64444447
5200	0.67777777
5300	0.7
5400	0.7111111
5500	0.7222222
5600	0.7222222
5700	0.75555557
5800	0.75555557
5900	0.7777778
6000	0.8
6100	0.82222223
6200	0.82222223
6300	0.8333333
6400	0.85555553
6500	0.8666667
6600	0.8888889
6700	0.8888889
6800	0.9444444
6900	0.93333334
7000	0.95555556
7100	0.95555556
7200	0.9777778
7300	1.0
7400	1.0111111
7500	1.0222223
7600	1.0444444
7700	1.0666667
7800	1.0777777
7900	1.1
8000	1.1222222
8100	1.1222222
8200	1.1333333
8300	1.1555556
8400	1.1777778
8500	1.1888889
8600	1.2
8700	1.1222222
8800	1.1333333
8900	1.1444445
9000	1.1666666
9100	1.1777778
9200	1.2
9300	1.2111111
9400	1.2222222
9500	1.3444444
9600	1.3666667
9700	1.3777778
9800	1.4
9900	1.4111111
10000	1.4333333
11000	1.6111112
12000	1.7777778
13000	1.9555556
14000	2.1222222
15000	2.3
16000	2.3777778
17000	2.4555554
18000	2.788889
19000	3.0222223
20000	3.2222223
21000	3.4
22000	3.6111112
23000	3.7222223
24000	3.6444445
25000	3.8222222
26000	4.0111113
27000	4.177778
28000	4.366667
29000	4.5555553
30000	4.7222223
31000	4.922222
32000	5.111111
33000	5.3
34000	5.4666667
35000	5.6555557
36000	5.866667
37000	6.0333333
38000	6.211111
39000	6.4444447
40000	6.6
41000	6.822222
42000	7.0
43000	7.266667
44000	7.411111
45000	7.588889
46000	7.811111
47000	8.0
48000	8.211111
49000	8.4
50000	8.688889
51000	8.955556
52000	10.0222225
53000	10.0222225
54000	9.4
55000	9.6
56000	9.811111
57000	11.222222
58000	11.211111
59000	10.433333
60000	10.622222
61000	10.822222
62000	11.066667
63000	12.411111
64000	12.255555
65000	11.677778
66000	11.877778
67000	12.111111
68000	12.288889
69000	12.4777775
70000	12.733334
71000	12.911111
72000	13.177778
73000	13.333333
74000	13.588889
75000	14.655556
76000	14.744445
77000	14.233334
78000	14.422222
79000	14.7
80000	14.944445
81000	15.1
82000	15.322222
83000	15.555555
84000	15.855556
85000	15.944445
86000	16.155556
87000	16.422222
88000	16.6
89000	16.8
90000	17.077778
91000	17.244444
92000	17.466667
93000	17.677778
94000	17.933332
95000	18.222221
96000	18.322222
97000	18.533333
98000	18.866667
99000	19.066668
100000	19.433332
